代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
301039,中集车辆,9.31,-0.96,-0.09,0.11,0.81,0.97,2.45,1.11亿,14.54亿,135.34亿,15.53
002332,仙琚制药,10.35,-0.96,-0.10,0.10,2.14,0.94,1.91,2.20亿,9.85亿,101.90亿,14.48
300919,中伟股份,37.13,-0.96,-0.36,-0.13,0.68,0.82,3.07,2.33亿,9.10亿,337.82亿,19.71
000925,众合科技,8.20,-0.97,-0.08,0.12,6.66,0.89,7.25,3.03亿,5.44亿,44.62亿,亏损
603351,威尔药业,23.58,-0.97,-0.23,0.00,0.56,1.34,2.52,1797.32万,1.35亿,31.94亿,21.22
601231,环旭电子,15.35,-0.97,-0.15,0.00,1.48,1.22,4.45,5.04亿,21.89亿,335.94亿,19.43
300617,安靠智电,28.55,-0.97,-0.28,0.18,2.49,0.69,5.97,1.01亿,1.41亿,40.14亿,26.35
000729,燕京啤酒,11.20,-0.97,-0.11,0.18,0.89,1.02,2.56,2.54亿,25.10亿,281.08亿,18.38
600298,安琪酵母,35.53,-0.98,-0.35,0.03,0.68,0.84,1.42,2.08亿,8.54亿,303.60亿,24.29
601101,昊华能源,8.12,-0.98,-0.08,0.00,0.72,0.70,1.71,8464.53万,14.40亿,116.93亿,7.83
603001,奥康国际,7.08,-0.98,-0.07,-0.28,4.36,1.27,6.15,1.25亿,4.01亿,28.39亿,亏损
002075,沙钢股份,7.04,-0.98,-0.07,-0.14,3.01,0.73,4.36,4.61亿,21.94亿,154.45亿,109.92
601028,玉龙股份,12.02,-0.99,-0.12,0.08,2.79,0.79,3.95,2.66亿,7.83亿,94.12亿,24.50
000550,江铃汽车,23.94,-0.99,-0.24,0.00,1.18,1.08,2.40,1.48亿,5.18亿,124.12亿,13.29
000703,恒逸石化,5.98,-0.99,-0.06,0.00,0.35,1.17,1.82,7796.21万,36.47亿,218.11亿,71.21
600211,西藏药业,36.87,-0.99,-0.37,0.00,0.74,1.08,2.10,8868.81万,3.22亿,118.84亿,11.26
600332,白云山,28.77,-1.00,-0.29,-0.04,0.43,1.09,1.31,1.73亿,14.06亿,404.47亿,11.11
430139,华岭股份,30.74,-1.00,-0.31,0.00,5.95,1.25,8.15,4.84亿,2.61亿,80.12亿,亏损
603181,皇马科技,11.88,-1.00,-0.12,0.08,0.49,1.56,3.25,3513.86万,5.89亿,69.94亿,18.37
600420,国药现代,11.88,-1.00,-0.12,0.00,0.65,0.91,1.75,1.05亿,13.41亿,159.33亿,12.52
